type_name,n,offensive_mean,defensive_mean,vaep_mean,vaep_sum
dribble,295075,0.0018013347001433792,0.0003925737940238225,0.0021939084941672016,647.367548916387
shot,8662,0.03763075241310947,-0.0012564620788585077,0.036374290334250964,315.0741028752818
pass,314978,0.0006899731225805684,-5.96436691817477e-05,0.0006303294533988208,198.53991057265375
tackle,15052,0.0024750872377882946,0.006719902619533219,0.009194989857321513,138.40298733240343
cross,8677,0.01178824436183829,-0.0009895923567091898,0.0107986520051291,93.69990344850521
freekick_crossed,5698,0.01370141214281095,-0.0016394351636117076,0.012061976979199243,68.72914482747728
throw_in,17389,0.00345916394326227,-0.0006748264345466266,0.002784337508715643,48.41684493905632
shot_freekick,409,0.0746611128589662,-0.0024508752939541778,0.07221023756501203,29.533987164089922
freekick_short,5790,0.0038203112417928525,-0.0008422745559764672,0.0029780366858163853,17.242832410876872
keeper_claim,1741,0.00017025626163810946,0.007140068829662473,0.007310325091300583,12.727275983954314
goalkick,5974,0.003402727899049787,-0.0022020640568976477,0.001200663842152139,7.172765793016879
clearance,16217,0.0008935692080523649,-0.0005571615525768195,0.00033640765547554536,5.4555229488469195
keeper_save,2195,0.00015682731023172855,-0.0016467524225163806,-0.001489925112284652,-3.2703856214648113
keeper_punch,550,-0.0003733617039820687,-0.007167316115969284,-0.0075406778199513524,-4.147372800973244
interception,17899,0.00041851461967901355,-0.0008808066714639317,-0.00046229205178491815,-8.27456543489825
shot_penalty,97,-0.12269808759533003,-0.0016650606400438958,-0.12436314823537394,-12.063225378831271
corner_short,872,-0.025121927892614086,-0.0011785931809412298,-0.026300521073555315,-22.934054376140235
corner_crossed,2897,-0.0069499927424710945,-0.002666345872654839,-0.009616338615125933,-27.85853296801983
take_on,14550,-0.002923279828872032,-0.0012799444294649038,-0.004203224258336936,-61.15691295880242
foul,12136,-0.0003474502300234047,-0.009829162483172506,-0.01017661271319591,-123.50337188734557
bad_touch,10451,-0.015173495195020002,-0.0032362088489750734,-0.018409704043995077,-192.39981696379255
