split,label,n,base_rate,brier,brier_base,brier_skill,log_loss,log_loss_base,roc_auc,auc_lo,auc_hi
oof,scores,757309,0.011031164293571052,0.009272122356194899,0.0109094777078993,0.15008558572137976,0.04761996634585271,0.060687894305643385,0.8191611298894992,0.8117035036513243,0.8272515414070112
oof,concedes,757309,0.002353068562502228,0.002261968120887411,0.0023475316308423917,0.03644828841955883,0.014552889230325005,0.016591151294027075,0.7666827416948856,0.7471471223939596,0.7847176482366037
holdout,scores,153438,0.01107939363130385,0.009323599099304686,0.010956640668066472,0.1490458269313646,0.04806917142783322,0.060904623984458145,0.8125386870402777,0.7911222720431487,0.833731231877873
holdout,concedes,153438,0.00221587872626077,0.002114908629431127,0.0022109686077312757,0.04344701139774121,0.013529773179180266,0.015757108037067903,0.781532878210266,0.7370978217641894,0.831478212014908
