player_id,name,player_name,team_name,games,minutes,actions,offensive,defensive,vaep,offensive_p90,defensive_p90,vaep_p90,goals,assists,goals_p90,assists_p90,ga_p90,rank_goals_p90,rank_assists_p90,rank_ga_p90,rank_vaep_p90
6399.0,Gareth Bale,Gareth Frank Bale,Real Madrid,23,1784,1820,17.170784387426917,-0.4274067465448752,16.74337764088204,0.8662391226840932,-0.0215619995454253,0.8446771231386679,19.0,6.0,0.9585201793721972,0.3026905829596413,1.2612107623318385,4,2,2,1
5503.0,Lionel Messi,Lionel Andrés Messi Cuccittini,Barcelona,33,2818,4520,26.096281105586883,-0.8165232058818219,25.27975789970506,0.8334511353807024,-0.0260777461069425,0.8073733892737599,26.0,6.0,0.830376153300213,0.19162526614620298,1.022001419446416,6,19,5,2
5695.0,James Rodríguez,James David Rodríguez Rubio,Real Madrid,26,1568,2562,10.85419030605117,-0.1658651318284683,10.6883251742227,0.6230083721585492,-0.009520320066685,0.6134880520918642,7.0,4.0,0.40178571428571425,0.22959183673469385,0.631377551020408,29,10,13,3
19677.0,Karim Benzema,Karim Benzema,Real Madrid,27,2023,1597,13.23716804419784,-0.3971755660750204,12.839992478122818,0.5889002095787471,-0.0176696989356163,0.5712305106431308,24.0,2.0,1.0677212061295107,0.08897676717745921,1.15669797330697,2,83,3,4
5246.0,Luis Suárez,Luis Alberto Suárez Díaz,Barcelona,35,3257,2493,19.868744204557636,-0.9060309807682644,18.96271322378937,0.5490288542862103,-0.0250361646512569,0.5239926896349534,40.0,10.0,1.105311636475284,0.276327909118821,1.3816395455941048,1,5,1,5
6677.0,Imanol Agirretxe,Imanol Agirretxe Arruti,Real Sociedad,16,1207,728,7.297694121778477,-0.4300918147200718,6.867602307058405,0.5441528342668293,-0.0320698121995082,0.512083022067321,13.0,0.0,0.9693454846727423,0.0,0.9693454846727423,3,194,7,6
5487.0,Antoine Griezmann,Antoine Griezmann,Atlético Madrid,38,3134,3099,15.875891781615984,-0.2050979330670088,15.670793848548977,0.4559126548645305,-0.0058898576822051,0.4500227971823253,22.0,3.0,0.6317804722399489,0.08615188257817485,0.7179323548181238,9,91,10,7
4320.0,Neymar,Neymar da Silva Santos Junior,Barcelona,34,3148,4797,16.720590255265215,-1.2288569486117922,15.491733306653424,0.4780346642229572,-0.0351325048840728,0.4429021593388844,24.0,10.0,0.6861499364675985,0.28589580686149935,0.9720457433290979,7,4,6,8
6724.0,Nolito,Manuel Agudo Durán,Celta Vigo,29,2575,2983,12.559544722030132,-0.8809994132170686,11.678545308813064,0.4389743786340628,-0.0307922125007907,0.4081821661332721,12.0,3.0,0.41941747572815535,0.10485436893203884,0.5242718446601942,28,61,24,9
5504.0,Éver Banega,Éver Maximiliano David Banega,Sevilla,25,1776,2717,7.638402688918382,-0.0869566576002398,7.551446031318142,0.3870812173438369,-0.0044065873783905,0.3826746299654464,5.0,2.0,0.25337837837837834,0.10135135135135136,0.3547297297297297,52,67,52,10
