player_id,name,player_name,team_name,games,minutes,actions,offensive,defensive,vaep,offensive_p90,defensive_p90,vaep_p90
6399.0,Gareth Bale,Gareth Frank Bale,Real Madrid,23,1784,1820,17.170784387426917,-0.4274067465448752,16.74337764088204,0.8662391226840932,-0.021561999545425318,0.8446771231386679
5503.0,Lionel Messi,Lionel Andrés Messi Cuccittini,Barcelona,33,2818,4520,26.096281105586883,-0.8165232058818219,25.27975789970506,0.8334511353807024,-0.026077746106942502,0.8073733892737599
3990.0,Jesé,Jesé Rodríguez Ruiz,Real Madrid,28,897,951,7.831584384884685,-0.1816433724889066,7.649941012395779,0.7857776974800688,-0.01822508754069297,0.7675526099393758
6749.0,Diego González,Diego González Polanco,Sevilla,2,115,98,0.929411658202298,0.03173462860286236,0.9611462868051603,0.7273656455496246,0.02483579629789228,0.7522014418475167
5695.0,James Rodríguez,James David Rodríguez Rubio,Real Madrid,26,1568,2562,10.85419030605117,-0.1658651318284683,10.688325174222701,0.6230083721585492,-0.009520320066685042,0.6134880520918642
19677.0,Karim Benzema,Karim Benzema,Real Madrid,27,2023,1597,13.237168044197839,-0.39717556607502047,12.839992478122818,0.5889002095787471,-0.017669698935616335,0.5712305106431308
197493.0,Mikel Arruabarrena,Mikel Arruabarrena Aranbide,Eibar,6,79,67,0.4642886577639729,0.020440775697352365,0.48472943346132524,0.5289364455538932,0.023286959655211555,0.5522234052091047
5246.0,Luis Suárez,Luis Alberto Suárez Díaz,Barcelona,35,3257,2493,19.868744204557633,-0.9060309807682643,18.96271322378937,0.5490288542862103,-0.025036164651256916,0.5239926896349534
6677.0,Imanol Agirretxe,Imanol Agirretxe Arruti,Real Sociedad,16,1207,728,7.297694121778477,-0.43009181472007185,6.867602307058405,0.5441528342668293,-0.03206981219950825,0.512083022067321
6676.0,Igor Zubeldía,Igor Zubeldia Elorza,Real Sociedad,1,11,12,0.05820937152020633,-0.002671292459126562,0.05553807906107977,0.4762584942562336,-0.021856029211035508,0.45440246504519816
6890.0,Andreu Fontàs,Andreu Fontàs Prat,Celta Vigo,7,567,932,2.4534359456738457,0.4087770231126342,2.86221296878648,0.38943427709108663,0.06488524176391018,0.45431951885499683
5487.0,Antoine Griezmann,Antoine Griezmann,Atlético Madrid,38,3134,3099,15.875891781615984,-0.20509793306700885,15.670793848548975,0.45591265486453053,-0.005889857682205105,0.45002279718232535
4320.0,Neymar,Neymar da Silva Santos Junior,Barcelona,34,3148,4797,16.720590255265215,-1.2288569486117922,15.491733306653423,0.4780346642229572,-0.03513250488407284,0.4429021593388844
3084.0,Christian Atsu,Christian Atsu Twasam,Málaga,12,426,367,1.9845386847737245,0.01991634300793521,2.0044550277816597,0.419268736219801,0.0042076781002680025,0.42347641432006894
197562.0,Iñigo Barrenetxea,Iñigo Barrenetxea García,Eibar,2,13,14,0.06740988907404244,-0.007419202185701579,0.05999068688834086,0.4666838474356784,-0.05136370743947247,0.415320139996206
6724.0,Nolito,Manuel Agudo Durán,Celta Vigo,29,2575,2983,12.559544722030132,-0.8809994132170686,11.678545308813064,0.43897437863406286,-0.03079221250079075,0.40818216613327213
7068.0,Marc Bartra,Marc Bartra Aregall,Barcelona,13,530,770,2.4426777957123704,-0.0436458628391847,2.3990319328731857,0.41479434266813836,-0.007411561614201176,0.40738278105393716
6765.0,Rodri,Rodrigo Hernández Cascante,Villarreal,3,104,156,0.28239668341120705,0.18198844243306667,0.4643851258442737,0.2443817452596984,0.15748999825938462,0.401871743519083
6906.0,Jon Bautista,Jon Bautista Orgilles,Real Sociedad,4,123,86,0.56612675182987,-0.030119280330836773,0.5360074714990333,0.41423908670478293,-0.022038497803051296,0.39220058890173165
5186.0,Denis Cheryshev,Denis Cheryshev,Valencia,9,531,575,2.376949266582262,-0.11313976987730712,2.2638094967049547,0.40287275704784103,-0.019176232182594427,0.3836965248652465
5504.0,Éver Banega,Éver Maximiliano David Banega,Sevilla,25,1776,2717,7.638402688918382,-0.08695665760023985,7.551446031318142,0.3870812173438369,-0.004406587378390533,0.3826746299654464
6735.0,Adrián López,Adrián López Álvarez,Villarreal,16,814,733,3.7460537891602144,-0.3064628125866875,3.439590976573527,0.4141828513813505,-0.033884094757741866,0.3802987566236086
6383.0,Thomas Partey,Thomas Teye Partey,Atlético Madrid,13,477,491,1.8029817510978319,0.15889196439820807,1.96187371549604,0.34018523605619466,0.0299796159241902,0.3701648519803849
24277.0,Vincenzo Renato Rennella,Vincenzo Renato Rennella,Real Betis,6,207,158,0.8518552567402367,-0.032493376347702,0.8193618803925347,0.3703718507566246,-0.014127554933783476,0.3562442958228411
6732.0,Lucas Pérez,Lucas Pérez Martínez,RC Deportivo La Coruña,36,3254,2398,13.433289494899082,-0.8355247511353809,12.597764743763701,0.3715415041613145,-0.023109166441974274,0.34843233771934023
