setting,label,n,base_rate,brier,brier_base,brier_skill,log_loss,log_loss_base,roc_auc,auc_lo,auc_hi,sec
트리 50 · 깊이 3,scores,757309,0.011031164293571,0.0093080973813921,0.0109094777078993,0.1467879919996176,0.0481260639939873,0.0606878943056433,0.813889255802555,0.8058869571906857,0.82169449078272,152.3323574066162
트리 50 · 깊이 3,concedes,757309,0.0023530685625022,0.0022640423773426,0.0023475316308423,0.0355646980014208,0.0147464543389687,0.016591151294027,0.7662964726398596,0.7463568030241827,0.7849913040958305,161.7099199295044
트리 100 · 깊이 3 (선택),scores,757309,0.011031164293571,0.0092721223561948,0.0109094777078993,0.1500855857213797,0.0476199663458527,0.0606878943056433,0.8191611298894992,0.8117035036513243,0.8272515414070112,149.80867171287537
트리 100 · 깊이 3 (선택),concedes,757309,0.0023530685625022,0.0022619681208874,0.0023475316308423,0.0364482884195588,0.014552889230325,0.016591151294027,0.7666827416948856,0.7471471223939596,0.7847176482366037,164.98083806037903
트리 200 · 깊이 4,scores,757309,0.011031164293571,0.0092617059262052,0.0109094777078993,0.1510403912829814,0.0475076901810027,0.0606878943056433,0.8204026356365689,0.8132276558028461,0.8281685361367703,197.495854139328
트리 200 · 깊이 4,concedes,757309,0.0023530685625022,0.0022651240031877,0.0023475316308423,0.035103947726193,0.0146931245243256,0.016591151294027,0.7567864968342825,0.7359394070281972,0.7749536828983995,215.18618202209475
트리 300 · 깊이 6,scores,757309,0.011031164293571,0.0092864309375904,0.0109094777078993,0.1487740122640051,0.0480031448697471,0.0606878943056433,0.8137085518630861,0.8063327240829534,0.8212841220419814,219.94879937171936
트리 300 · 깊이 6,concedes,757309,0.0023530685625022,0.0022773199408532,0.0023475316308423,0.029908730117509,0.0150939314000084,0.016591151294027,0.7373602304758528,0.7189899464826577,0.754985744582725,236.90440106391907
