name,seed_20160817,seed_7,seed_1234,mean,spread,rank_move
Gonzalo Escalante,0.14609179239555592,0.15128593525614215,0.14055415345127353,0.14597729370099052,0.010731781804868612,12
Adrián Marín,0.14272200789893066,0.14224478432286974,0.1503071320563022,0.14509130809270088,0.008062347733432451,11
Casemiro,0.15079109317223313,0.14162557329795816,0.14279198926326572,0.14506955191115234,0.009165519874274969,17
Iago Aspas,0.14006584343450984,0.14767530326039052,0.14671902470640094,0.1448200571337671,0.007609459825880682,8
Diego Mariño,0.13675765754577465,0.1548175536064951,0.14051122915705244,0.14402881343644072,0.01805989606072045,25
Luis Hernández,0.14542754654661308,0.14451584285559452,0.13867543484570752,0.1428729414159717,0.006752111700905561,9
Pedro López,0.13346452231304645,0.145797695933824,0.1405248638809477,0.1399290273759394,0.012333173620777543,16
Celso Borges,0.143572004879436,0.1393561676710759,0.13474807810719905,0.13922541688590365,0.00882392677223695,9
Víctor Camarasa,0.13919093116465586,0.1395765660709003,0.13879356564540926,0.1391870209603218,0.0007830004254910372,3
Pape Diop,0.13791625333409627,0.14470458667030078,0.1344179067065459,0.1390129155703143,0.010286679963754874,8
Carlos Vela,0.1353325643141344,0.13712610452781954,0.13989601828547077,0.13745156237580822,0.0045634539713363675,6
Fayçal Fajr,0.1437149565080769,0.13257072334611913,0.13204835482651073,0.13611134489356894,0.011666601681566163,15
Dimitri Foulquier,0.13518828822638718,0.13349246748809537,0.1375909416497683,0.13542389912141695,0.004098474161672916,5
José Gayá,0.13716846053794715,0.1461557720884885,0.12147693989057236,0.134933724172336,0.024678832197916153,30
Cristiano Piccini,0.12968489360594895,0.1396021287471659,0.13097704057389198,0.1334213543090023,0.009917235141216951,14
Roque Mesa,0.13301482725917746,0.13218365981293873,0.13395219735709724,0.13305022814307113,0.0017685375441585105,6
Vicente Iborra,0.1348087598744639,0.12762335726993765,0.13601184503126465,0.1328146540585554,0.008388487761327001,14
Diego Reyes,0.13412557550284712,0.13179102730837977,0.12990987371109072,0.13194215884077254,0.004215701791756399,4
Charly Musonda,0.12877365946275793,0.13103472259264207,0.13332557074283488,0.13104465093274498,0.0045519112800769534,9
Fabián Orellana,0.13379291975559995,0.1262099374902512,0.13216235483685837,0.13072173736090317,0.007582982265348759,11
Mikel Balenziaga,0.13305289745135312,0.13398435658371446,0.12477512424212553,0.13060412609239772,0.009209232341588935,12
Antonio Sanabria,0.12665313490899502,0.13087612498390802,0.12543869850649433,0.12765598613313245,0.005437426477413687,7
Juanfran,0.1311788493381276,0.12256350382081192,0.12868791620060327,0.12747675645318093,0.008615345517315673,12
Mario Gaspar,0.1299862324767297,0.12895295317791067,0.12141032672211083,0.1267831707922504,0.008575905754618862,10
Roberto Lago,0.12822300534777348,0.1248835902503689,0.12627150540044624,0.12645936699952953,0.0033394150974045828,8
David García,0.12667264749069473,0.1269421131016586,0.12481690352669339,0.12614388803968224,0.0021252095749652034,1
Pau López,0.12386354609884735,0.1279709169189106,0.12345814038056453,0.1250975344661075,0.004512776538346072,6
Nemanja Radoja,0.11839035142143137,0.12815580760074208,0.12860249832975545,0.12504955245064298,0.010212146908324088,14
Mikel San José,0.13366070424299237,0.1174017374172618,0.12019809652229047,0.12375351272751488,0.016258966825730567,20
Alberto Lora,0.12644967823636183,0.1227423844509343,0.12058957412715511,0.12326054560481708,0.005860104109206718,6
Carl Medjani,0.1161973897470576,0.12973821795129295,0.1200162210463457,0.12198394291489874,0.013540828204235356,17
Arthur Boka,0.11545428741991517,0.12608056016433578,0.12340125733064021,0.12164536830496371,0.0106262727444206,12
Alexis Ruano,0.12262175443753953,0.1258823777700591,0.11466185349182055,0.12105532856647305,0.011220524278238539,13
Paco Alcácer,0.11625990060885037,0.12151839107329493,0.12188048114065636,0.11988625760760056,0.005620580531805988,7
Abdoul Karim Yoda,0.11850834899691548,0.11410505133049063,0.12445693245136087,0.119023444259589,0.010351881120870238,16
Hernán Santana,0.11536440535025946,0.11643488120979681,0.12498352387208596,0.11892760347738074,0.009619118521826495,17
Shkodran Mustafi,0.11860916599243425,0.11781802785017144,0.11778069490446308,0.11806929624902292,0.0008284710879711693,5
Duda,0.11358887417582998,0.11904468418316838,0.11929590956107639,0.11730982264002492,0.005707035385246403,8
Recio,0.12165411497742279,0.11717942926590846,0.11161525690564258,0.11681626704965793,0.010038858071780205,15
Víctor Ruíz,0.11721462958920748,0.11475929587008432,0.11330773661155255,0.1150938873569481,0.003906892977654924,10
Juanfran,0.11584954561904771,0.11395336164568426,0.11331760191517865,0.1143735030599702,0.002531943703869069,6
Hugo Mallo,0.10866086663596775,0.11279576918613095,0.12112182975414554,0.11419282185874807,0.012460963118177792,15
Iván López,0.10753779973976323,0.11399174539486986,0.11768760922395312,0.1130723847861954,0.010149809484189892,12
Germán Pezzella,0.10890554839087888,0.11267027064918037,0.11700458924315817,0.1128601360944058,0.00809904085227929,7
Eneko Bóveda,0.12457287390417227,0.10265892258675438,0.10834718917463909,0.11185966188852192,0.021913951317417885,37
Francisco Varela,0.11031097522830552,0.11517369964416915,0.11000001058793707,0.11182822848680392,0.005173689056232084,8
Juan Carlos,0.10493690416013078,0.11641679395259762,0.11381074570134891,0.1117214812713591,0.011479889792466835,16
Quini,0.10841344538822716,0.11100708443154934,0.11091074605454777,0.11011042529144142,0.002593639043322188,1
Daniele Bonera,0.10510417813293761,0.11023395755370508,0.11350487396940159,0.10961433655201476,0.008400695836463981,10
Miguel Lopes,0.10950353864892234,0.11072689812508495,0.10650051300914987,0.10891031659438571,0.00422638511593508,14
Heiko Westermann,0.1024957266856802,0.11833648016308418,0.10511482382879686,0.10864901022585376,0.015840753477403977,28
Carles Planas,0.10663033032128925,0.11047272348060759,0.10857127292137042,0.10855810890775575,0.003842393159318336,1
Francisco Molinero,0.10785636795702172,0.10656564306378136,0.1059634377042984,0.10679514957503383,0.0018929302527233155,10
Pedro Mosquera,0.10924150560255577,0.10802222642826613,0.1028696058452033,0.10671111262534172,0.006371899757352473,17
Laure,0.10384199492156683,0.10626049528850302,0.10935468269091544,0.10648572430032843,0.005512687769348615,10
Germán Lux,0.09429418693598407,0.10906073863941954,0.11530633860015851,0.10622042139185404,0.021012151664174444,35
Álvaro Medrán,0.10891523006515855,0.1071521840274636,0.10249760931609672,0.10618834113623961,0.006417620749061825,18
Daniel Wass,0.1035557282961522,0.10586310152520967,0.10807779762015918,0.10583220914717369,0.004522069324006978,7
Sergio Álvarez,0.09882750584733609,0.1097163810634898,0.10612443930162503,0.10488944207081696,0.010888875216153712,14
Rubén Pérez,0.09813772914548206,0.10883799508580652,0.1074758398573504,0.10481718802954632,0.010700265940324458,17
Martín Montoya,0.10509595020668602,0.11097925889003647,0.09521188637446527,0.1037623651570626,0.0157673725155712,28
Benoît Trémoulinas,0.10478953984840043,0.09379589877844435,0.10907655838735954,0.10255399900473477,0.015280659608915184,31
Javi López,0.10466141138020627,0.10332048904014714,0.09742538054775687,0.1018024269893701,0.007236030832449392,13
Alejandro Arribas,0.09849683943300501,0.10386419328801501,0.10261475882315878,0.10165859718139293,0.005367353855009999,7
Miguel Torres,0.09932038954297222,0.10335558713758573,0.10158977900551455,0.10142191856202416,0.0040351975946135155,3
Felipe Caicedo,0.08494897992810477,0.11051404734270844,0.10680861090682923,0.10075721272588083,0.025565067414603668,44
Juan Cala,0.1018320979106172,0.09784453455709746,0.10117647804108673,0.10028437016960046,0.003987563353519741,7
Jean-Sylvain Babin,0.09851297241410242,0.10015623782433167,0.10136655378478869,0.10001192134107427,0.0028535813706862673,3
Jaume Costa,0.09817174138995235,0.09973614053554815,0.09988190521318553,0.09926326237956201,0.0017101638232331767,1
