group,setting,n_features,scores_brier,scores_brier_skill,scores_log_loss,scores_roc_auc,concedes_brier,concedes_brier_skill,concedes_log_loss,concedes_roc_auc
피처 집합,피처 없음 (기저율),0,0.010956644326376313,-3.3388973430525937e-07,0.06090479153257279,,0.002210998208416459,-1.3388107402256821e-05,0.015763475318792384,
피처 집합,위치만,12,0.01012678852471776,0.07573965127535365,0.052129449011840974,0.7774763563045591,0.0022033797025338285,0.0034323893930064964,0.014940123528708453,0.699901466419433
피처 집합,행동 유형만,69,0.010759012601850526,0.018037286446012657,0.05734287621557265,0.6584167446519659,0.0021996985979848525,0.005097317848392069,0.014551746074925525,0.7476362410697338
피처 집합,위치 + 행동 유형,81,0.010111919660207963,0.07709671544860264,0.05175783979377801,0.78396442242162,0.0021388086448416435,0.03263726252706822,0.014052065364741741,0.749080538955056
피처 집합,전체 피처 (이 프로젝트),145,0.009323599099304686,0.1490458269313646,0.04806917142783322,0.8125386870402777,0.002114908629431127,0.04344701139774121,0.013529773179180266,0.781532878210266
알고리즘,XGBoost (이 프로젝트),145,0.009323599099304686,0.1490458269313646,0.04806917142783322,0.8125386870402777,0.002114908629431127,0.04344701139774121,0.013529773179180266,0.781532878210266
알고리즘,로지스틱 회귀,145,0.009497653294371248,0.13316010060889338,0.049564380660633095,0.8014358767007838,0.002173393075121941,0.016995054781846042,0.013896800469966492,0.7669700414882278
알고리즘,랜덤 포레스트,145,0.009422644708875893,0.14000604799073735,0.05618291455617076,0.7841657136565893,0.002135100813321424,0.03431427933646747,0.023090013527202514,0.7564986921103207
XGBoost 용량,트리 50 · 깊이 3,145,0.009377019746377514,0.14417018587575126,0.04861606625317677,0.8058726748815489,0.0021217253378860725,0.04036387922159501,0.013834878269937382,0.7771385667619279
XGBoost 용량,트리 100 · 깊이 3 (선택),145,0.009323599099304686,0.1490458269313646,0.04806917142783322,0.8125386870402777,0.002114908629431127,0.04344701139774121,0.013529773179180266,0.781532878210266
XGBoost 용량,트리 200 · 깊이 4,145,0.009295019080986254,0.15165429235286276,0.047823230730053366,0.8170272210691341,0.0021172813909202904,0.04237383402160544,0.013638997828021584,0.7778417591807785
XGBoost 용량,트리 300 · 깊이 6,145,0.009296083984427486,0.15155709983980215,0.04837026183764605,0.8078994947172874,0.002130646953154913,0.036328717782557085,0.013997737502376126,0.757751359567459
