game_id,action_id,period_id,time_seconds,name,team_name,type_name,result_name,start_x,start_y,end_x,end_y,p_scores,p_concedes,offensive_value,defensive_value,vaep_value
3825595,1504,2,2031.008,Denis Suárez,Villarreal,clearance,success,18.943749999999998,33.0225,25.33125,47.8975,0.005356175824999809,0.015237627550959587,0.0011313320137560368,0.011597488075494766,0.012728820089250803
3825595,1505,2,2033.648,Jaume Costa,Villarreal,pass,success,25.33125,47.8975,34.60625000000001,43.9025,0.007931267842650414,0.0018337692599743605,0.0025750920176506042,0.013403858290985227,0.01597895030863583
3825595,1506,2,2034.96,Denis Suárez,Villarreal,dribble,success,34.60625000000001,43.9025,42.13125000000001,41.6925,0.006488564889878035,0.0018327849684283137,-0.001442702952772379,9.842915460467339e-07,-0.0014417186612263322
3825595,1507,2,2036.188,Denis Suárez,Villarreal,pass,success,42.13125000000001,41.6925,62.69375000000001,22.482499999999995,0.013501089066267014,0.00104053458198905,0.007012524176388979,0.0007922503864392638,0.007804774562828243
3825595,1508,2,2038.761,Adrián López,Villarreal,dribble,success,62.69375000000001,22.482499999999995,81.76875000000001,23.417499999999997,0.03916972875595093,0.0006788315949961543,0.025668639689683914,0.0003617029869928956,0.02603034267667681
3825595,1509,2,2044.948,Adrián López,Villarreal,take_on,success,81.76875000000001,23.417499999999997,81.76875000000001,23.417499999999997,0.04618360474705696,0.0008941490086726844,0.007013875991106033,-0.00021531741367653012,0.006798558577429503
3825595,1510,2,2044.948,Adrián López,Villarreal,dribble,success,81.76875000000001,23.417499999999997,81.06875,22.822499999999998,0.03289905935525894,0.0012836098903790116,-0.01328454539179802,-0.0003894608817063272,-0.013674006273504347
3825595,1511,2,2045.449,Adrián López,Villarreal,pass,success,81.06875,22.822499999999998,88.24375,23.7575,0.07279051840305328,0.0011146531905978918,0.03989145904779434,0.00016895669978111982,0.04006041574757546
3825595,1512,2,2046.269,Léo Baptistão,Villarreal,dribble,success,88.24375,23.7575,94.36875,23.672499999999992,0.10508354008197784,0.0011309318942949176,0.03229302167892456,-1.6278703697025776e-05,0.032276742975227535
3825595,1513,2,2047.521,Léo Baptistão,Villarreal,shot,success,94.36875,23.672499999999992,104.95625000000001,36.8475,0.9782544374465942,0.0010226034792140126,0.8731708973646164,0.00010832841508090496,0.8732792257796973
